Country Code,Country Name,MEASURE,Sex,Retirement Age
GBR,United Kingdom,CRPLF22,Male,66.0
GBR,United Kingdom,CRPLF22,Female,66.0
GBR,United Kingdom,FRPLF22,Male,67.0
GBR,United Kingdom,FRPLF22,Female,67.0
